Drug Name,Usage,Side Effects,Dosage,Contraindications
Acetaminophen,"Acetaminophen is a pain reliever and a fever reducer.

Acetaminophen is used to treat mild to moderate pain, moderate to severe pain in conjunction with opiates, or to reduce fever. Common conditions treated include headache, muscle aches, arthritis, backache, toothaches, sore throat, colds, flu, and fevers.","stomach pain (upper right side);
loss of appetite;
tiredness, itching;
dark urine, clay-colored stools; or
jaundice (yellowing of the skin or eyes).","Adults and teenagers at least 12 years old: Do not take more than 1000 milligrams (mg) at one time or more than 4000 mg in 24 hours.

Children younger than 12 years old: Do not take more than 5 doses of children's formula acetaminophen in 24 hours.","Adults and teenagers who weigh at least 110 pounds should not take more than 1000 milligrams (mg) at one time, or more than 4000 mg in 24 hours.

Children younger than 12 years old should not take more than 5 doses in 24 hours, using only the number of milligrams per dose that is recommended for the child's weight and age. Use exactly as directed on the label."
Acetylcysteine,Acetylcysteine is used to help prevent or lessen liver damage caused by taking large quantities of acetaminophen (Tylenol).,"nausea, vomiting, upset stomach;rash; orfever.","Use exactly as directed on the label, or as prescribed by your doctor.If you vomit within 1 hour after taking acetylcysteine, you may need to take another dose.",You should not use acetylcysteine if you are allergic to it.
Adderall,Adderall is used to treat attention deficit hyperactivity disorder (ADHD) and narcolepsy.,"stomach pain;
loss of appetite;
weight loss;
mood changes;
feeling nervous;
fast heart rate;
headache;
dizziness;
sleep problems (insomnia); or
dry mouth.","Age 6 to 11 Years:
-Initial Dose: 5 mg orally per day in divided doses
-Maintenance Dose: Daily dose may be raised in 5 mg increments at weekly intervals until optimal response is obtained.

Age 12 Years and Older:
-Initial Dose: 10 mg orally per day in divided doses
-Maintenance Dose: Daily dose may be raised in 10 mg increments at weekly intervals until optimal response is obtained.","Do not use this medicine if you have used a MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, or tranylcypromine or have received a methylene blue injection."
Albuterol,"Albuterol is a bronchodilator that relaxes muscles in the airways and increases air flow to the lungs.

Albuterol inhalation is used to treat or prevent bronchospasm, or narrowing of the airways in the lungs, in people with asthma or certain types of chronic obstructive pulmonary disease (COPD). It is also used to prevent exercise-induced bronchospasm.","chest pain, fast or pounding heartbeats;
upset stomach, vomiting;
painful urination;
dizziness;
feeling shaky or nervous;
headache, back pain, body aches; or
cough, sore throat, sinus pain, runny or stuffy nose.","The usual dose of albuterol inhalation is 2 inhalations every 4 to 6 hours. To prevent exercise-induced bronchospasm, use 2 inhalations 15 to 30 minutes before you exercise. The effects of albuterol inhalation should last about 4 to 6 hours.","You should not use this medicine if you are allergic to albuterol. You should not use ProAir RespiClick if you are allergic to milk proteins.
Albuterol may increase the risk of death or hospitalization in people with asthma, but the risk in people with obstructive airway disease or chronic obstructive pulmonary disease (COPD) is not known."
Allegra,"Allegra is used to treat the symptoms of seasonal allergies (hay fever) in adults and children.

Allegra is also used to treat skin itching and hives caused by a condition called chronic idiopathic urticaria in adults and children.","Less serious Allegra side effects may include:
nausea, diarrhea, upset stomach;
menstrual cramps;
drowsiness, tired feeling;
headache; or
muscle or back pain.","Take the regular tablet with a full glass of water. Do not use any other type of liquid. Shake the oral suspension (liquid) well just before you measure a dose. To be sure you get the correct dose, measure the liquid with a marked measuring spoon or medicine cup, not with a regular table spoon. If you do not have a dose-measuring device, ask your pharmacist for one.","Do not take Allegra with fruit juice (such as apple, orange, or grapefruit). These juices can make it harder for your body to absorb fexofenadine.

Avoid taking an antacid within 2 hours before or after you take Allegra Do not use. Allegra at the same time as antacids that contain magnesium or aluminum."
Alprazolam ,"Alprazolam is used to treat anxiety disorders, panic disorders, and anxiety caused by depression.","Common alprazolam side effects may include:
drowsiness; or
feeling light-headed.","-Initial dose: 0.5 to 1 mg orally once a day
-Maintenance dose: 3 to 6 mg orally per day, preferably in the morning
-Maximum dose: 10 mg/day","Never share this medicine with another person, especially someone with a history of drug abuse or addiction. MISUSE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH."
Ascorbic acid ,Ascorbic acid is used to treat and prevent vitamin C deficiency.,"Common side effects of ascorbic acid may include:
heartburn, upset stomach; or
nausea, diarrhea, stomach cramps.","Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended.Usual Adult Dose for Dietary Supplement:
Oral, IM, IV, subcutaneously: 50 to 200 mg/day.","You should not use ascorbic acid if you have ever had an allergic reaction to a vitamin C supplement.Do not stop using ascorbic acid suddenly after long-term use at high doses, or you could have ""conditional"" vitamin C deficiency."
Aspirin,"Aspirin is used to treat pain, and reduce fever or inflammation. It is sometimes used to treat or prevent heart attacks, strokes, and chest pain (angina).","Common side effects of aspirin may include:
upset stomach;
heartburn;
drowsiness; or
mild headache.","Take aspirin exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended.","You should not use aspirin if you have a bleeding disorder such as hemophilia, a recent history of stomach or intestinal bleeding, or if you are allergic to an NSAID (non-steroidal anti-inflammatory drug) such as Advil, Motrin, Aleve, Orudis, Indocin, Lodine, Voltaren, Toradol, Mobic, Relafen, Feldene, and others.

Do not give this medication to a child or teenager with a fever, flu symptoms, or chickenpox. Salicylates can cause Reye's syndrome, a serious and sometimes fatal condition in children."
Azathioprine,Azathioprine is used to prevent your body from rejecting a transplanted kidney. Azathioprine is also used to treat symptoms of rheumatoid arthritis.,"Common side effects of azathioprine may include:
nausea, diarrhea, stomach pain;
hair loss; or
skin rash.","Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed. 
Initial dose: 1 mg/kg (50 to 100 mg) orally or IV per day given in 1 to 2 divided doses
Maintenance dose: Lowest effective dose
Maximum dose: 2.5 mg/kg orally or IV per day
Duration: At least 12 weeks","You should not take azathioprine if you are allergic to azathioprine.

You should not use azathioprine to treat rheumatoid arthritis if you are pregnant. This medicine can harm an unborn baby. Use effective birth control to prevent pregnancy while using this medicine."
Baclofen,Baclofen is used in adults and children at least 12 years old to treat certain types of spasticity (muscle stiffness and tightness) and muscle pain in people with multiple sclerosis or a spinal cord injury or other spinal cord diseases.Baclofen relieves pain and improves muscle movement.,"drowsiness, dizziness, weakness, or tiredness.","Oral:
-Initial dose: The following gradually increasing dosage regimen is suggested, but should be adjusted to suit individual patient requirements: 5 mg orally 3 times a day for 3 days, then 10 mg orally 3 times a day for 3 days, then 15 mg orally 3 times a day for 3 days, then 20 mg orally 3 times a day for 3 days
-Maintenance dose: Should be individualized.
-Maximum dose: 80 mg/day (20 mg orally 4 times a day).","Do not use baclofen at a time when you need muscle tone for safe balance and movement during certain activities. Baclofen may make you drowsy. Do not drive or operate heavy machinery until you know how this medicine affects you. If you take baclofen while pregnant or breastfeeding, withdrawal symptoms such as tremors, stiff muscles, or seizure may occur in the baby."
